Matricule,Nom,Prenom,Genre,Date_Naissance,Pays_Naissance,Lieu_Naissance,Nationalite,Type_Residence,Residence_Num_Rue,Residence_Rue,Residence_Code_Postal,Residence_Localite,Residence_Commune,Residence_Pays,Etat_Civil,Enfants,Statut_SH,Orientation_SH,Statut_CTR,REVIS,Titre_Sejour,Debut_Titre_Sejour,Fin_Titre_Sejour,Autorisation_Travail_Debut,Autorisation_Travail_Fin,Autorisation_Travail_ISCO,Metier_ROME_1,Metier_ROME_1_Appellation,Metier_ROME_1_Experience,Metier_ROME_2,Metier_ROME_2_Appellation,Metier_ROME_2_Experience,Metier_ROME_3,Metier_ROME_3_Appellation,Metier_ROME_3_Experience,Formation_Reussie_ISCED,Formation_Reussie_Diplome,Formation_Reussie_Classe,Formation_Reussie_Specialite,Formation_Toutes_Specialites,Formation_Reussie_Pays,Formation_Reussie_Preuve,Langue_FR,Langue_LB,Langue_DE,Langue_EN,Langues_Autres,Mobilite
5064903841586,Ledoux,Hélène,Féminin,19970822,Pays-Bas,Royboeuf,Allemande,inconnu,163,chemin de Guillot,1300,110101 Luxembourg,Luxembourg,Luxembourg,Séparé,Oui,False,Inconnu,True,False,109 Protection temporaire (BPT),20250514,20270406,,,,M1607,Secrétaire,12 ans,,,,,,,7,Master,,Hôtellerie-Restauration,Éducation sociale,Érythrée,Homologué,B,,,A,,Limitée (pas de voiture et pas de transports en commun disponible)
7213665241325,Allard,Isaac,Masculin,19881230,Syrie,Cohen,Britannique,résident,28,boulevard Gonzalez,7900,110101 Luxembourg,Luxembourg,Luxembourg,Veuf,Inconnu,False,Inconnu,False,False,,,,,,,K2111,Formateur,,I1308,Technicien helpdesk,,,,,1,Secondaire technique,5ème primaire,Mécanique,"Électronique, Comptabilité",Italie,Déclaré,B,A,B,B,,"Excellente (permis A, B et véhicule personnel)"
3362208393054,Alexandre,Stéphanie,Féminin,19600519,Belgique,Coulon-la-Forêt,Néerlandaise,résident,151,chemin Agnès Leroux,1900,111001 Wiltz,Wiltz,Luxembourg,Divorcé,Non,False,Inconnu,False,False,109 Protection temporaire (BPT),20231030,20270218,,,,G1603,Agent de restauration,12 ans,N1103,Magasinier,0 ans,M1203,Comptable,4 ans,2,Secondaire technique,9ème EST,Commerce,Commerce,Roumanie,Reconnu,A,C,,C,,"Excellente (permis A, B et véhicule personnel)"
9568400526309,Georges,Roger,Masculin,19590306,Érythrée,Lenoir,Afghane,résident,52,rue de Rolland,5900,110301 Differdange,Differdange,Belgique,Inconnu,Non,False,Inconnu,True,False,,,,20250327,20260921,1211,D1406,Chef des ventes,,,,,,,,0,Secondaire classique,12ème EST,Électronique,"Soins infirmiers, Sciences naturelles, Économie",Luxembourg,Vérifié,B,B,,B,,Limitée (pas de voiture et pas de transports en commun disponible)
8780713424640,Laporte,Philippe,Masculin,19900830,Somalie,Imbert,Syrienne,inconnu,176,rue Chrétien,8100,110502 Echternach,Echternach,Belgique,PA,Non,False,Inconnu,True,False,,,,20240910,20261101,9321,K2111,Formateur,,,,,D1406,Responsable commercial,,0,Secondaire classique,12ème EST,Informatique,"Sciences humaines, Langues",Roumanie,Vérifié,C,C,,C,,Moyenne (permis B mais pas de voiture disponible ou utilisation de transports en communs)
9316534769580,Mace,Agathe,Féminin,19770722,Syrie,Masse,Belge,inconnu,9,boulevard Suzanne Fernandez,2900,110401 Dudelange,Dudelange,Luxembourg,Veuf,Inconnu,False,Inconnu,False,False,,,,,,,N1103,Préparateur de commandes,0 ans,M1607,Secrétaire juridique,6 ans,,,,0,Secondaire classique,5ème primaire,Mécanique,"Sciences humaines, Langues, Sciences naturelles",Espagne,Reconnu,A,B,A,A,Portugais: A,"Excellente (permis A, B et véhicule personnel)"
0140432527287,Lenoir,Gabrielle,Féminin,19930411,Allemagne,Grondindan,Britannique,inconnu,27,chemin Maggie Mary,5600,110901 Diekirch,Diekirch,Allemagne,Séparé,Non,False,Inconnu,True,False,,,,,,,H2901,Monteur,,,,,,,,5,BTS,,Électronique,Division administrative et commerciale,Pays-Bas,Vérifié,A,B,A,A,,Limitée pour des raisons psychiques et/ou physiques (durée de trajet restreinte)
3811480955905,Le Roux,Hélène,Féminin,19880519,Portugal,Fernandez,Allemande,inconnu,6,avenue Marguerite Pottier,8600,110701 Remich,Remich,France,PA,Inconnu,False,Inconnu,True,True,,,,,,,D1406,Responsable commercial,19 ans,H2901,Mécanicien monteur,,,,,7,Master,,Hôtellerie-Restauration,Électronique,Belgique,Reconnu,B,C,,B,Russe: B,Limitée pour des raisons psychiques et/ou physiques (durée de trajet restreinte)
0783454311625,Bouvier,Joséphine,Féminin,19500922,Somalie,Hebert,Française,non-résident,233,boulevard François Blondel,8900,110502 Echternach,Echternach,France,Séparé,Oui,False,Inconnu,False,False,,,,,,,N1103,Préparateur de commandes,14 ans,D1406,Responsable commercial,,,,,3,DT,,,"Division administrative et commerciale, Comptabilité",Érythrée,Vérifié,B,B,C,,,Limitée (pas de voiture et pas de transports en commun disponible)
9608487668137,Mendès,Luce,Féminin,19650529,Érythrée,Collet,Britannique,inconnu,243,rue Lorraine Jacquot,6100,110301 Differdange,Differdange,France,Divorcé,Inconnu,False,Inconnu,False,False,120 Carte de séjour UE,20241030,20270629,,,,H2901,Mécanicien monteur,4 ans,,,,,,,2,,5ème primaire,Division administrative et commerciale,"Division administrative et commerciale, Soins infirmiers, Mécanique",Érythrée,Déclaré,C,B,B,,Portugais: A,Limitée (pas de voiture et pas de transports en commun disponible)
9149938757043,Lopez,Louise,Féminin,19690723,Roumanie,Lévêque-la-Forêt,Néerlandaise,résident,103,avenue Berger,4700,110401 Dudelange,Dudelange,Luxembourg,Divorcé,Non,False,Inconnu,False,False,,,,,,,G1603,Employé de restauration,,,,,,,,6,Bachelor,,Division administrative et commerciale,"Division administrative et commerciale, Hôtellerie-Restauration",Allemagne,Reconnu,B,A,C,A,,Moyenne (permis B mais pas de voiture disponible ou utilisation de transports en communs)
3325536611307,Lefèvre,Suzanne,Féminin,19950516,Afghanistan,MauryVille,Belge,inconnu,200,avenue de Aubert,5600,110201 Esch-sur-Alzette,Esch-sur-Alzette,Allemagne,PA,Inconnu,False,Inconnu,True,False,,,,20250105,20261228,1211,D1406,Commercial,11 ans,,,,,,,2,Secondaire technique,2ème ESC,,"Soins infirmiers, Hôtellerie-Restauration, Langues",Italie,Homologué,B,,A,,,"Excellente (permis A, B et véhicule personnel)"
4404530997251,Cousin,Antoine,Masculin,20000719,Érythrée,Bouvier,Luxembourgeoise,inconnu,38,rue Bonnet,2200,110801 Ettelbruck,Ettelbruck,Luxembourg,Inconnu,Oui,False,Inconnu,True,False,,,,20250819,20261124,5223,K2111,Conseiller en formation,,M1203,Comptable,7 ans,,,,8,PhD,,Langues,"Mécanique, Langues",Italie,Vérifié,B,,C,B,,Limitée pour des raisons psychiques et/ou physiques (durée de trajet restreinte)
4225294227731,Chauveau,Alexandrie,Féminin,19890924,Luxembourg,Differdange,Allemande,inconnu,185,rue Devaux,4400,110801 Ettelbruck,Ettelbruck,Luxembourg,Inconnu,Inconnu,True,Inconnu,False,False,,,,,,,I1308,Support informatique,1 ans,,,,,,,2,Secondaire classique,5ème primaire,Soins infirmiers,Comptabilité,Portugal,Reconnu,A,B,A,,,"Excellente (permis A, B et véhicule personnel)"
4680028169323,Duhamel,Chantal,Féminin,19570824,Espagne,Texier,Roumaine,résident,196,boulevard Da Silva,2200,110801 Ettelbruck,Ettelbruck,Luxembourg,Célibataire,Non,False,Inconnu,False,False,130 Autorisation de séjour temporaire,20240413,20280120,20251121,20261225,9321,G1603,Agent de restauration,15 ans,J1501,Aide-soignant,5 ans,,,,2,,9ème EST,Hôtellerie-Restauration,"Éducation sociale, Langues, Électronique",Érythrée,Vérifié,A,B,C,A,Arabe: B,Moyenne (permis B mais pas de voiture disponible ou utilisation de transports en communs)
6293355333968,Vaillant,Élise,Féminin,19510303,Royaume-Uni,Langlois,Néerlandaise,résident,93,rue de Boulay,5400,110301 Differdange,Differdange,Belgique,Inconnu,Non,False,Inconnu,True,False,,,,20251205,20261123,2412,H2901,Monteur,,N1103,Agent logistique,9 ans,K1207,Animateur social,,6,Bachelor,,Comptabilité,"Sciences naturelles, Informatique, Commerce",France,Homologué,C,C,B,B,,"Excellente (permis A, B et véhicule personnel)"
2323539413022,Schmitt,Patrick,Masculin,19970326,Syrie,BarthelemyVille,Espagnole,non-résident,202,avenue Samson,3200,110301 Differdange,Differdange,Belgique,Marié,Inconnu,False,Inconnu,False,False,,,,20250515,20261023,1211,K2111,Conseiller en formation,20 ans,,,,D1406,Chef des ventes,1 ans,8,PhD,,Informatique,Sciences naturelles,Royaume-Uni,A valider,A,A,A,B,,Moyenne (permis B mais pas de voiture disponible ou utilisation de transports en communs)
5196397962086,Schmitt,Agathe,Féminin,20040809,Royaume-Uni,Alves,Italienne,résident,121,rue Perrin,9400,110101 Luxembourg,Luxembourg,Belgique,Veuf,Inconnu,False,Inconnu,True,False,,,,,,,M1607,Assistant administratif,17 ans,N1103,Magasinier,15 ans,,,,7,Master,,,"Mécanique, Économie",Royaume-Uni,Vérifié,C,B,A,B,,Moyenne (permis B mais pas de voiture disponible ou utilisation de transports en communs)
2489262352393,Navarro,Guy,Masculin,19630427,Somalie,Sainte Renée,Allemande,non-résident,225,boulevard Couturier,5500,110901 Diekirch,Diekirch,Luxembourg,Marié,Non,False,Inconnu,False,True,,,,20240201,20260822,2412,N1103,Agent logistique,10 ans,D1406,Responsable commercial,4 ans,J1501,Infirmier,9 ans,6,Bachelor,,Hôtellerie-Restauration,Informatique,Afghanistan,Vérifié,C,C,B,,,Moyenne (permis B mais pas de voiture disponible ou utilisation de transports en communs)
1364661966435,Pierre,Marguerite,Féminin,19790703,Syrie,Bernard,Roumaine,inconnu,207,rue Mathieu,4100,110901 Diekirch,Diekirch,Luxembourg,PA,Non,True,Inconnu,False,False,,,,,,,M1607,Secrétaire juridique,9 ans,,,,,,,4,Diplôme d'éducateur,,Mécanique,"Division administrative et commerciale, Sciences humaines",Royaume-Uni,Reconnu,C,B,B,A,,Limitée pour des raisons psychiques et/ou physiques (durée de trajet restreinte)
0437853753594,Potier,Christiane,Féminin,19550611,Luxembourg,Bettembourg,Espagnole,résident,218,rue Joubert,5100,110801 Ettelbruck,Ettelbruck,France,Célibataire,Oui,True,Atelier protégé,True,True,,,,,,,J1501,Infirmier,,I1308,Technicien support,8 ans,N1103,Agent logistique,,6,Bachelor,,Mécanique,Soins infirmiers,Pologne,Déclaré,B,B,A,B,,Limitée (pas de voiture et pas de transports en commun disponible)
4013661519062,Lopes,Richard,Masculin,19800107,Luxembourg,Diekirch,Néerlandaise,résident,203,chemin de Meunier,1800,110901 Diekirch,Diekirch,Allemagne,Célibataire,Inconnu,True,Atelier protégé,True,False,120 Carte de séjour UE,20230803,20270904,20250402,20270105,2320,N1103,Magasinier,14 ans,,,,,,,3,DAP,,Commerce,"Comptabilité, Sciences naturelles",Belgique,Déclaré,C,A,A,,,Moyenne (permis B mais pas de voiture disponible ou utilisation de transports en communs)
8919889302802,Devaux,Guillaume,Masculin,19530506,Érythrée,MoulinVille,Syrienne,résident,186,chemin Lebreton,9600,110601 Grevenmacher,Grevenmacher,Luxembourg,Veuf,Oui,False,Inconnu,False,True,,,,,,,J1501,Aide-soignant,9 ans,,,,,,,1,Secondaire classique,5ème primaire,Langues,Mécanique,Luxembourg,Reconnu,B,C,A,A,Espagnol: C,Limitée (pas de voiture et pas de transports en commun disponible)
8869846848391,Roger,Louis,Masculin,19510706,Afghanistan,Jacquet-la-Forêt,Française,résident,162,boulevard Hervé,8800,110502 Echternach,Echternach,Luxembourg,Marié,Oui,False,Inconnu,True,False,,,,,,,M1203,Comptable,,,,,,,,6,Bachelor,,Sciences naturelles,"Comptabilité, Division administrative et commerciale, Électronique",Érythrée,Déclaré,A,,,,Espagnol: C,Moyenne (permis B mais pas de voiture disponible ou utilisation de transports en communs)
