,Gender,Age,Date_of_birth,Nationality,Municipality,Canton,Salary,Social_matricule,Ethnicity,hair_color,hair_lenght,First_name,Surname
0,M,31,19920609,Portugal,Luxembourg,Canton Luxembourg,1460.0,199206097835*,white,red,long,Cristiano,Fernandes
1,M,41,19821205,Luxembourg,Esch-sur-Alzette,Canton Esch,5303.0,198212053419*,white,gray,medium,Franck,Berthelot
2,M,30,19930327,Poland,Luxembourg,Canton Luxembourg,4960.0,199303273513*,white,red,medium,Kornel,Pastuła
3,M,63,19600620,Luxembourg,Luxembourg,Canton Luxembourg,4960.0,196006201120*,white,gray,long,Joseph,Verdier
4,M,21,20020813,France,Käerjeng,Canton Capellen,4141.0,200208139103*,white,black,medium,Adrien,Lelièvre
5,M,40,19830321,Luxembourg,Habscht,Canton Capellen,4139.0,198303217961*,latino,red,medium,Émile,Thomas
6,M,89,19340511,Portugal,Luxembourg,Canton Luxembourg,0.0,193405111692*,white,gray,medium,Diogo,Cardoso
7,M,53,19700817,Bosnia and Herzegovina,Luxembourg,Canton Luxembourg,3960.0,197008173207*,white,gray,long,Lukáš,Horáková
8,M,86,19371012,Luxembourg,Luxembourg,Canton Luxembourg,0.0,193710129482*,white,gray,long,Alphonse,Vallée
9,F,23,20000506,Germany,Luxembourg,Canton Luxembourg,3960.0,200005060041*,white,black,long,Henny,Kühnert
10,F,73,19501127,Portugal,Esch-sur-Alzette,Canton Esch,0.0,195011273526*,white,gray,short,Luna,Loureiro
11,F,27,19960316,Portugal,Sanem,Canton Esch,8142.0,199603167502*,white,gray,medium,Íris,Azevedo
12,M,57,19660409,Luxembourg,Parc Hosingen,Canton Clervaux,1085.0,196604091432*,black,black,medium,Charles,Verstraeten
13,M,35,19880827,Luxembourg,Mondorf-les-Bains,Canton Remich,3884.0,198808277147*,white,brown,long,Valère,De Smet
14,F,26,19971109,Luxembourg,Luxembourg,Canton Luxembourg,10460.0,199711092686*,white,gray,medium,Michèle,Dupré
